【整租】外高桥 阳光城MODO自 1室1厅,阳光城MODO自,4600,http://sh.58.com/pinpaigongyu/29006029572413x.shtml
【整租】南翔 翔瑞新苑 3室1厅,翔瑞新苑,4350,http://sh.58.com/pinpaigongyu/28942220132019x.shtml
【整租】南京东路 中福大厦 1室0厅,中福大厦,4800,http://sh.58.com/pinpaigongyu/28972485669167x.shtml
【整租】月浦 新月鸿锦苑 3室1厅,新月鸿锦苑,3100,http://sh.58.com/pinpaigongyu/28740040918348x.shtml
【整租】凌云路 C9连锁公寓 1室1厅,【整租】凌云路,3000,http://sh.58.com/pinpaigongyu/28751173041862x.shtml
【整租】华东理工 C9连锁公寓 1室1厅,【整租】华东理工,3000,http://sh.58.com/pinpaigongyu/28763183289026x.shtml
【整租】中原 市光三村 1室1厅,市光三村,4680,http://sh.58.com/pinpaigongyu/29034246327494x.shtml
【整租】闸北周边 延长小区 1室1厅,延长小区,3000,http://sh.58.com/pinpaigongyu/28673787267519x.shtml
【合租】徐家汇 阳光名邸 3室次卧,阳光名邸,3000,http://sh.58.com/pinpaigongyu/28954102018347x.shtml
【合租】万体馆 宜德苑 3室次卧,宜德苑,3000,http://sh.58.com/pinpaigongyu/28954123082190x.shtml
【整租】东外滩 霍山路 1室1厅,霍山路,3680,http://sh.58.com/pinpaigongyu/28532977946424x.shtml
【合租】世纪公园 花木鑫丰苑 4室次卧,花木鑫丰苑,3180,http://sh.58.com/pinpaigongyu/29038993808970x.shtml
【整租】东外滩 现代星洲城一期 1室1厅,现代星洲城一期,3680,http://sh.58.com/pinpaigongyu/28821546615611x.shtml
【合租】田林 田林十四村 3室主卧,田林十四村,3030,http://sh.58.com/pinpaigongyu/28775470378574x.shtml
【整租】田林 未来域 壹极公寓 1室0厅,未来域,3768,http://sh.58.com/pinpaigongyu/28578275132202x.shtml
【整租】江浦路 霍山路 1室1厅,霍山路,3680,http://sh.58.com/pinpaigongyu/28982788629955x.shtml
【整租】上海大学 丰宝苑 2室1厅,丰宝苑,3950,http://sh.58.com/pinpaigongyu/29018369715919x.shtml
【整租】唐镇 金利公寓 1室1厅,【整租】唐镇,4100,http://sh.58.com/pinpaigongyu/28983812822059x.shtml
【整租】新天地 翠湖天地御苑 1室1厅,翠湖天地御苑,3040,http://sh.58.com/pinpaigongyu/29006319268538x.shtml
【整租】宜川路 泰山三村 1室0厅,泰山三村,3500,http://sh.58.com/pinpaigongyu/28972838315844x.shtml
【整租】北新泾 C9连锁公寓 1室1厅,【整租】北新泾,4000,http://sh.58.com/pinpaigongyu/28719433278380x.shtml
【合租】徐家汇 凯歌公寓 3室主卧,【合租】徐家汇,3160,http://sh.58.com/pinpaigongyu/28610664361800x.shtml
【整租】通河新村 V+SPACE国 1室1厅,V+SPACE国,3860,http://sh.58.com/pinpaigongyu/28940649827908x.shtml
【整租】高境 atway遇道 1室1厅,atway遇道,3200,http://sh.58.com/pinpaigongyu/28986537041356x.shtml
